,Home_team_current_form,Away_team_current_form,Home_team home_form
1252,5,13,10
1253,4,11,6
1254,10,1,13
1255,12,0,15
1256,9,0,11
1257,4,12,9
1258,11,1,11
1259,9,5,13
1260,2,9,1
1261,11,1,15
1262,15,0,13
1263,5,10,6
1264,4,13,4
1265,0,10,0
1266,4,12,5
1267,9,2,9
1268,1,11,3
1269,13,8,12
1270,13,2,12
1271,12,10,15
1272,7,10,8
1273,10,3,13
1274,3,10,2
1275,1,10,1
1276,11,1,9
1277,11,2,11
1278,10,6,13
1279,2,13,7
1280,2,11,2
1281,11,12,8
1282,1,10,4
1283,13,7,11
1284,9,10,9
1285,11,7,15
1286,8,5,8
1287,10,4,9
1288,10,3,15
1289,10,7,10
1290,10,11,12
1291,8,8,8
1292,7,4,9
1293,3,8,5
1294,2,10,2
1295,10,0,15
1296,6,3,11
1297,6,3,6
1298,4,3,10
1299,9,10,9
1300,6,1,13
1301,10,4,15
1302,8,7,8
1303,6,7,6
1304,11,0,11
1305,7,3,10
1306,10,6,15
1307,3,6,5
1308,13,1,11
1309,7,1,12
1310,6,4,6
1311,12,6,12
1312,9,1,10
1313,6,4,10
1314,13,4,15
1315,13,3,13
1316,3,6,3
1317,9,5,12
1318,9,6,7
1319,13,4,13
1320,13,10,11
1321,6,7,3
1322,6,5,5
1323,6,9,6
1324,2,6,4
1325,13,7,13
1326,4,10,8
1327,2,13,2
1328,8,4,5
1329,6,12,4
1330,7,6,10
1331,3,13,4
1332,5,7,4
1333,7,10,10
1334,1,13,1
1335,4,9,6
1336,15,7,12
1337,13,7,13
1338,10,8,9
1339,9,13,7
1340,12,11,9
1341,15,10,13
1342,6,3,13
1343,10,9,9
1344,5,5,11
1345,9,12,9
1346,6,7,9
1347,12,0,7
1348,0,15,0
1349,7,7,13
1350,4,7,3
1351,1,7,5
1352,9,0,9
1353,1,9,1
1354,0,12,1
1355,1,12,2
1356,3,4,9
1357,15,0,13
1358,3,8,3
1359,8,2,11
1360,0,9,0
1361,8,3,11
1362,10,2,7
1363,7,4,11
1364,1,15,3
1365,12,1,8
1366,0,6,3
1367,7,0,7
1368,12,1,9
1369,6,2,9
1370,3,7,4
1371,4,15,4
1372,10,0,10
1373,7,6,8
1374,10,4,8
1375,6,9,5
1376,9,0,9
1377,7,9,4
1378,2,10,3
1379,3,5,6
1380,13,5,11
1381,10,7,7
1382,10,6,10
1383,10,2,10
1384,5,12,6
1385,3,13,3
1386,13,8,13
1387,4,11,4
1388,1,8,1
1389,3,13,4
1390,10,10,10
1391,0,5,1
1392,13,11,7
1393,0,13,0
1394,7,10,6
1395,7,8,10
1396,10,3,11
1397,8,4,10
1398,7,11,5
1399,11,6,8
1400,11,10,8
1401,5,4,7
1402,7,3,11
1403,13,5,13
1404,8,5,10
1405,6,8,5
1406,7,1,7
1407,1,3,4
1408,0,11,0
1409,2,12,3
1410,11,0,11
1411,0,10,0
1412,6,6,8
1413,11,2,11
1414,1,6,1
1415,12,2,13
1416,7,11,6
1417,11,0,7
1418,0,8,0
1419,4,8,2
1420,11,6,11
1421,4,6,5
1422,4,13,2
1423,8,1,11
1424,6,12,3
1425,8,0,10
1426,3,9,11
1427,9,12,6
1428,8,6,5
1429,15,4,13
1430,2,9,4
1431,5,9,7
1432,0,11,0
1433,0,10,1
1434,8,7,10
1435,0,13,0
1436,5,3,11
1437,2,10,1
1438,4,13,1
1439,9,1,8
1440,13,1,11
1441,7,11,3
1442,13,7,11
1443,11,6,8
1444,15,0,13
1445,8,8,11
1446,7,15,1
1447,15,7,13
1448,11,12,11
1449,4,9,4
1450,0,10,0
1451,13,4,13
1452,4,12,2
1453,9,6,11
1454,10,6,8
1455,6,12,8
1456,11,13,8
1457,9,1,13
1458,1,11,5
1459,1,12,4
1460,2,2,4
1461,10,0,11
1462,6,4,10
1463,0,10,0
1464,1,13,8
1465,3,13,5
1466,0,11,0
1467,4,5,4
1468,13,10,13
1469,0,10,0
1470,12,1,11
1471,9,4,10
1472,2,6,3
1473,10,3,13
1474,3,9,2
1475,1,13,1
1476,4,10,4
1477,11,4,13
1478,8,4,6
1479,10,1,11
1480,15,0,11
1481,11,0,11
1482,8,2,6
1483,10,1,13
1484,11,7,11
1485,13,3,13
1486,11,1,9
1487,15,0,11
1488,8,4,10
1489,8,0,8
1490,9,1,7
1491,13,1,13
1492,7,13,9
1493,4,11,4
1494,8,3,8
1495,10,6,12
1496,15,6,13
1497,9,13,8
1498,10,7,11
1499,7,10,7
1500,5,10,5
1501,0,13,0
1502,11,4,11
1503,7,5,9
1504,7,7,5
1505,7,13,9
1506,12,5,12
1507,11,4,11
1508,3,10,6
1509,4,13,6
1510,6,10,6
1511,4,10,6
1512,5,6,3
1513,9,1,9
1514,12,8,12
1515,13,5,13
1516,10,6,12
1517,3,13,3
1518,13,1,11
1519,12,4,13
1520,11,3,11
1521,6,5,9
1522,5,0,5
1523,12,0,15
1524,5,11,2
1525,9,1,9
1526,12,1,13
1527,4,2,7
1528,6,1,9
1529,13,8,11
1530,10,6,13
1531,9,2,11
1532,3,7,6
1533,6,3,10
1534,5,7,3
1535,4,1,5
1536,8,7,9
1537,0,6,0
1538,11,1,11
1539,7,13,2
1540,10,2,7
1541,0,12,0
1542,1,8,1
1543,13,0,13
1544,2,13,3
1545,9,10,12
1546,7,5,7
1547,8,6,6
1548,13,1,13
1549,11,10,11
1550,13,2,10
1551,3,13,8
1552,9,7,9
1553,8,6,8
1554,6,5,7
1555,5,4,4
1556,6,13,7
1557,9,2,9
1558,15,6,13
1559,8,8,7
1560,3,9,5
1561,15,7,11
1562,5,3,5
1563,8,6,10
1564,5,9,3
1565,3,11,3
1566,6,15,6
1567,10,2,13
1568,5,11,7
1569,8,7,8
1570,15,4,13
1571,13,3,13
1572,13,2,11
1573,15,5,15
1574,10,13,10
1575,15,12,9
1576,15,8,15
1577,12,13,12
1578,12,15,12
1579,9,12,9
1580,15,12,13
1581,5,0,9
1582,12,12,10
1583,12,0,15
1584,10,6,12
1585,7,9,5
1586,12,8,10
1587,4,7,7
1588,7,4,10
1589,5,8,5
1590,6,1,9
1591,5,7,4
1592,7,6,7
1593,0,9,3
1594,10,0,12
1595,3,6,6
1596,12,0,15
1597,9,1,7
1598,6,0,12
1599,2,5,4
1600,10,4,12
1601,5,9,6
1602,10,1,7
1603,1,13,5
1604,1,9,1
1605,6,10,6
1606,3,6,4
1607,0,12,0
1608,1,10,3
1609,1,7,4
1610,7,2,10
1611,4,4,4
1612,5,8,6
1613,10,3,15
1614,3,4,9
1615,11,4,10
1616,7,0,10
1617,1,3,4
1618,9,1,10
1619,8,2,10
1620,15,3,12
1621,9,0,9
1622,11,8,13
1623,13,1,7
1624,6,1,9
1625,11,0,10
1626,1,7,3
1627,13,4,10
1628,9,9,10
1629,7,15,10
1630,9,10,6
1631,8,1,8
1632,10,4,10
1633,10,9,10
1634,15,0,12
1635,9,5,9
1636,11,1,13
1637,5,11,4
1638,7,4,7
1639,10,1,10
1640,1,11,1
1641,1,2,1
1642,12,7,12
1643,10,0,12
1644,2,11,3
1645,9,13,11
1646,7,9,10
1647,12,4,9
1648,7,5,7
1649,12,0,12
1650,7,13,7
1651,3,11,4
1652,10,7,8
1653,9,7,12
1654,2,7,1
1655,1,10,1
1656,8,10,6
