,Unnamed: 0,Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee,check_column,Country Column,Nationality
896,1113,Thomas Gravesen,Defensive Midfield,28,Everton,Premier League,Real Madrid,LaLiga,2004-2005,6000000.0,3400000,,,Denmark
897,1114,Luis Perea,Centre-Back,25,Boca Juniors, Argentina,Atlético Madrid,LaLiga,2004-2005,,3300000,,Germany,
898,1115,Jesper Grönkjaer,Left Winger,26,Chelsea,Premier League,Birmingham,Premier League,2004-2005,,3300000,,,
899,1117,Danny Murphy,Central Midfield,27,Liverpool,Premier League,Charlton,Premier League,2004-2005,,3250000,,Portugal,
900,1119,Diego Forlán,Second Striker,25,Man Utd,Premier League,Villarreal CF,LaLiga,2004-2005,,3200000,,Netherlands,Uruguay
901,1120,Nigel Quashie,Central Midfield,26,Portsmouth,Premier League,Southampton,Premier League,2004-2005,2500000.0,3150000,,Italy,England
902,1121,Amdy Fayé,Defensive Midfield,27,Portsmouth,Premier League,Newcastle,Premier League,2004-2005,3000000.0,3000000,,,
903,1123,Maicon,Right-Back,22,Cruzeiro, Brazil,Monaco,Ligue 1,2004-2005,,3000000,True,,
904,1124,Georgios Seitaridis,Right-Back,23,Panathinaikos,Super League,FC Porto,Liga NOS,2004-2005,,3000000,,,Greece
905,1125,Pablo Ibáñez,Centre-Back,22,Albacete,LaLiga,Atlético Madrid,LaLiga,2004-2005,,3000000,,England,Spain
906,1126,Paul Robinson,Goalkeeper,24,Leeds,Championship,Spurs,Premier League,2004-2005,,3000000,True,England,
907,1128,Pedro Mendes,Defensive Midfield,25,FC Porto,Liga NOS,Spurs,Premier League,2004-2005,,3000000,True,France,
908,1129,Ilan,Centre-Forward,23,Atlético-PR, Brazil,FC Sochaux,Ligue 1,2004-2005,,3000000,,,
909,1130,Daniel Moreira,Second Striker,26,Lens,Ligue 1,Toulouse,Ligue 1,2004-2005,,3000000,,Spain,France
910,1131,Habib Bamogo,Second Striker,22,Montpellier,Ligue 2,Marseille,Ligue 1,2004-2005,,3000000,,,France
911,1132,Éric Carrière,Attacking Midfield,31,Olympique Lyon,Ligue 1,Lens,Ligue 1,2004-2005,,3000000,,Germany,France
912,1133,Stephen Carr,Right-Back,27,Spurs,Premier League,Newcastle,Premier League,2004-2005,,3000000,,Italy,Ireland
913,1134,Fabrice Fiorèse,Right Winger,29,Paris SG,Ligue 1,Marseille,Ligue 1,2004-2005,,3000000,,England,France
914,1135,Julio Cáceres,Centre-Back,24,Olimpia, Paraguay,FC Nantes,Ligue 1,2004-2005,,3000000,,,
915,1136,Vedran Runje,Goalkeeper,28,Marseille,Ligue 1,Standard Liège,Jupiler Pro League,2004-2005,,3000000,,,SFR Yugoslavia
916,1137,Juan Carlos Menseguez,Second Striker,20,River Plate, Argentina,VfL Wolfsburg,1.Bundesliga,2004-2005,,3000000,,France,Argenti
917,1138,Tomasz Radzinski,Centre-Forward,30,Everton,Premier League,Fulham,Premier League,2004-2005,,3000000,,,Poland
918,1139,Josemi,Centre-Back,24,Málaga CF,LaLiga,Liverpool,Premier League,2004-2005,,3000000,,,Spain
919,1141,Florin Bratu,Centre-Forward,24,Galatasaray,Süper Lig,FC Nantes,Ligue 1,2004-2005,,3000000,,France,Romania
920,1143,Jelle Van Damme,Left-Back,20,AFC Ajax,Eredivisie,Southampton,Premier League,2004-2005,,3000000,True,Greece,Belgium
921,1144,Peter Crouch,Centre-Forward,23,Aston Villa,Premier League,Southampton,Premier League,2004-2005,,3000000,True,England,England
922,1146,Sotiris Kyrgiakos,Centre-Back,25,Panathinaikos,Super League,Rangers,Premiership,2004-2005,3800000.0,2630000,,England,Greece
923,1147,Eric Djemba-Djemba,Defensive Midfield,23,Man Utd,Premier League,Aston Villa,Premier League,2004-2005,7000000.0,2540000,,France,Cameroon
924,1149,Sergey Semak,Central Midfield,28,CSKA Moscow,Premier Liga,Paris SG,Ligue 1,2004-2005,1000000.0,2500000,,,Soviet Union
925,1150,Emile Mpenza,Centre-Forward,26,Standard Liège,Jupiler Pro League,Hamburger SV,1.Bundesliga,2004-2005,,2500000,,,Belgium
926,1151,Ricardo Fuller,Centre-Forward,24,Preston NE,Championship,Portsmouth,Premier League,2004-2005,,2500000,,Italy,Jamaica
927,1152,Adailton,Centre-Back,21,EC Vitória, Brazil,Stade Rennais,Ligue 1,2004-2005,,2500000,,,
928,1153,Andreas Görlitz,Right-Back,22,1860 Munich,2.Bundesliga,Bayern Munich ,1.Bundesliga,2004-2005,,2500000,,Netherlands,West Germany
929,1156,Mauro Rosales,Right Midfield,23,Newell's, Argentina,AFC Ajax,Eredivisie,2004-2005,,2500000,True,,Argentina
930,1157,Thiago Silva,Centre-Back,20,Juventude,Série A,FC Porto,Liga NOS,2004-2005,,2500000,True,Germany,Brazil
931,1158,Júlio César,Goalkeeper,25,Flamengo,Série A,Inter,Serie A,2004-2005,2000000.0,2450000,True,,
932,1159,Fabrizio Miccoli,Centre-Forward,25,Fiorentina,Serie A,Juventus,Serie A,2004-2005,15000000.0,2400000,,,Italy
933,1161,Noé Pamarot,Centre-Back,25,OGC Nice,Ligue 1,Spurs,Premier League,2004-2005,,2400000,,France,France
934,1164,Mathieu Berson,Defensive Midfield,24,FC Nantes,Ligue 1,Aston Villa,Premier League,2004-2005,,2300000,,Spain,"
Vannes,[1] France"
935,1165,Marek Heinz,Centre-Forward,26,Banik Ostrava,HET Liga,Bor. M'gladbach,1.Bundesliga,2004-2005,,2300000,,,Czechoslovakia
936,1166,Robbie Blake,Second Striker,28,Burnley,Championship,Birmingham,Premier League,2004-2005,1750000.0,2250000,,Portugal,England
937,1167,Richard Chaplow,Central Midfield,20,Burnley,Championship,West Brom,Premier League,2004-2005,50000.0,2250000,,,England
938,1168,Lomana LuaLua,Second Striker,23,Newcastle,Premier League,Portsmouth,Premier League,2004-2005,,2250000,,England,Zaire
939,1169,Zoltán Gera,Central Midfield,25,Ferencváros,NB I.,West Brom,Premier League,2004-2005,,2250000,True,,Hungary
940,1170,Fitz Hall,Centre-Back,23,Southampton,Premier League,Crystal Palace,Premier League,2004-2005,,2250000,,,England
941,1171,Morten Gamst Pedersen,Central Midfield,22,Tromsø,Eliteserien,Blackburn,Premier League,2004-2005,,2250000,True,,Norway
942,1173,Emmanuel Eboué,Right-Back,21,KSK Beveren,Jupiler Pro League,Arsenal,Premier League,2004-2005,1800000.0,2200000,,,Ivory Coast
943,1175,Vladimir Manchev,Centre-Forward,26,LOSC Lille,Ligue 1,Levante UD,LaLiga,2004-2005,,2200000,,,Bulgaria
944,1176,Tim Cahill,Attacking Midfield,24,Millwall,Championship,Everton,Premier League,2004-2005,,2200000,True,,Australia
945,1177,Adriano,Left-Back,20,Coritiba FC,Série A,Sevilla FC,LaLiga,2004-2005,,2100000,True,,
946,1178,Jesper Grönkjaer,Left Winger,27,Birmingham,Premier League,Atlético Madrid,LaLiga,2004-2005,6500000.0,2000000,,,
947,1182,Leandro,Left-Back,25,Cruzeiro,Série A,FC Porto,Liga NOS,2004-2005,2500000.0,2000000,True,Belgium,
948,1184,Léo Lima,Attacking Midfield,22,Marítimo,Liga NOS,FC Porto,Liga NOS,2004-2005,500000.0,2000000,,,Brazil
949,1186,Paulo Assunção,Defensive Midfield,24,Nacional,Liga NOS,FC Porto,Liga NOS,2004-2005,,2000000,,,Brazil
950,1187,Jussiê,Attacking Midfield,21,Cruzeiro,Série A,Lens,Ligue 1,2004-2005,,2000000,,,Brazil
951,1188,Kevin Hofland,Centre-Back,25,PSV Eindhoven,Eredivisie,VfL Wolfsburg,1.Bundesliga,2004-2005,,2000000,,,Netherlands
952,1190,Marco Caneira,Centre-Back,25,G. Bordeaux,Ligue 1,Valencia CF,LaLiga,2004-2005,,2000000,,Greece,Portugal
953,1191,Vahid Hashemian,Centre-Forward,27,VfL Bochum,1.Bundesliga,Bayern Munich ,1.Bundesliga,2004-2005,,2000000,,,Iran
954,1193,Erik Edman,Left-Back,25,Heerenveen,Eredivisie,Spurs,Premier League,2004-2005,,2000000,,Greece,Sweden
955,1198,DaMarcus Beasley,Left-Back,22,Chicago Fire,MLS,PSV Eindhoven,Eredivisie,2004-2005,,2000000,True,,United States
956,1199,Pepe,Centre-Back,21,Marítimo,Liga NOS,FC Porto,Liga NOS,2004-2005,,2000000,True,England,
957,1200,Davide Possanzini,Centre-Forward,28,UC AlbinoLeffe,Serie B,US Palermo,Serie A,2004-2005,50000.0,1900000,,England,Italy
958,1201,Claus Jensen,Attacking Midfield,27,Charlton,Premier League,Fulham,Premier League,2004-2005,,1900000,,,Denmark
959,1202,Andreas Jakobsson,Centre-Back,32,Bröndby IF,Superligaen,Southampton,Premier League,2004-2005,2000000.0,1800000,,,Sweden
960,1206,Marcel,Centre-Forward,23,Suwon Bluewings," Korea, South",Coimbra,Liga NOS,2004-2005,,1800000,True,,
961,1208,Calum Davenport,Centre-Back,21,Coventry City,Championship,Spurs,Premier League,2004-2005,,1800000,,Germany,England
962,1209,Ibson,Central Midfield,21,Flamengo,Série A,FC Porto,Liga NOS,2004-2005,,1800000,,,Brazil
963,1210,Mladen Petric,Centre-Forward,23,Grasshoppers,Super League,FC Basel,Super League,2004-2005,,1750000,,Belgium,SFR Yugoslavia
964,1211,Azar Karadas,Centre-Back,22,Rosenborg BK,Eliteserien,Benfica,Liga NOS,2004-2005,,1750000,True,,Norway
965,1212,Jonathan Greening,Central Midfield,25,Middlesbrough,Premier League,West Brom,Premier League,2004-2005,,1750000,,Portugal,England
966,1215,Andreas Isaksson,Goalkeeper,22,Djurgarden, Sweden,Stade Rennais,Ligue 1,2004-2005,,1700000,True,,Sweden
967,1218,Dragan Mladenovic,Defensive Midfield,28,Red Star, Serbia,Rangers,Premiership,2004-2005,,1600000,,,SFR Yugoslavia
968,1220,Juan Pablo Sorín,Left-Back,28,Cruzeiro, Brazil,Villarreal CF,LaLiga,2004-2005,4000000.0,1500000,,,Argentina
969,1221,Élson,Attacking Midfield,23,Palmeiras,Série A,VfB Stuttgart,1.Bundesliga,2004-2005,1200000.0,1500000,,Germany,Brazil
970,1223,Giannis Skopelitis,Defensive Midfield,26,Egaleo AO,Super League,Portsmouth,Premier League,2004-2005,800000.0,1500000,,,Greece
971,1225,Khalid Boulahrouz,Centre-Back,22,RKC Waalwijk,Eredivisie,Hamburger SV,1.Bundesliga,2004-2005,,1500000,,,Netherlands
972,1227,Gilberto,Central Midfield,28,São Caetano, Brazil,Hertha BSC,1.Bundesliga,2004-2005,,1500000,,France,
973,1228,Jérémie Bréchet,Centre-Back,24,Inter,Serie A,Real Sociedad,LaLiga,2004-2005,,1500000,True,England,France
974,1229,Ben Thatcher,Left-Back,28,Leicester,Championship,Man City,Premier League,2004-2005,,1500000,,,England
975,1230,Sylvinho,Left-Back,30,Celta de Vigo,LaLiga2,FC Barcelona,LaLiga,2004-2005,,1500000,,Italy,Brazil
976,1231,Facundo Quiroga,Centre-Back,26,Sporting CP,Liga NOS,VfL Wolfsburg,1.Bundesliga,2004-2005,,1500000,,Portugal,
977,1232,Michael Essien,Defensive Midfield,22,Olympique Lyon,Ligue 1,Chelsea,Premier League,2005-2006,45000000.0,38000000,,Netherlands,Ghana
978,1233,Shaun Wright-Phillips,Right Winger,23,Man City,Premier League,Chelsea,Premier League,2005-2006,9500000.0,31500000,,,England
979,1234,Sergio Ramos,Centre-Back,19,Sevilla FC,LaLiga,Real Madrid,LaLiga,2005-2006,27000000.0,27000000,True,,Spain
980,1235,Michael Owen,Centre-Forward,25,Real Madrid,LaLiga,Newcastle,Premier League,2005-2006,22000000.0,25000000,,,England
981,1236,Alberto Gilardino,Centre-Forward,23,Parma,Serie A,AC Milan,Serie A,2005-2006,20000000.0,25000000,True,England,Italy
982,1237,Robinho,Left Winger,21,Santos FC,Série A,Real Madrid,LaLiga,2005-2006,25000000.0,24000000,,,Brazil
983,1238,Patrick Vieira,Defensive Midfield,29,Arsenal,Premier League,Juventus,Serie A,2005-2006,35000000.0,20000000,,,Senegal
984,1239,Júlio Baptista,Attacking Midfield,23,Sevilla FC,LaLiga,Real Madrid,LaLiga,2005-2006,25000000.0,20000000,,England,Brazil
985,1240,Albert Luque,Left Winger,27,Dep. La Coruña,LaLiga,Newcastle,Premier League,2005-2006,20000000.0,20000000,,England,Spain
986,1242,Wálter Samuel,Centre-Back,27,Real Madrid,LaLiga,Inter,Serie A,2005-2006,17000000.0,16000000,,England,Argentina
987,1243,Fred,Centre-Forward,21,Cruzeiro,Série A,Olympique Lyon,Ligue 1,2005-2006,7500000.0,15600000,True,Italy,
988,1244,Jermaine Jenas,Central Midfield,22,Newcastle,Premier League,Spurs,Premier League,2005-2006,9000000.0,15000000,,Spain,England
989,1245,Aleksandr Hleb,Attacking Midfield,24,VfB Stuttgart,1.Bundesliga,Arsenal,Premier League,2005-2006,8500000.0,15000000,,Spain,Soviet Union
990,1246,Asier del Horno,Left-Back,24,Athletic Bilbao,LaLiga,Chelsea,Premier League,2005-2006,12000000.0,12000000,,Spain,Spain
991,1247,David Pizarro,Central Midfield,25,Udinese Calcio,Serie A,Inter,Serie A,2005-2006,12000000.0,12000000,True,England,Chile
992,1248,David Villa,Centre-Forward,23,Real Zaragoza,LaLiga,Valencia CF,LaLiga,2005-2006,12000000.0,12000000,True,England,Spain
993,1249,Mohamed Sissoko,Defensive Midfield,20,Valencia CF,LaLiga,Liverpool,Premier League,2005-2006,4000000.0,12000000,,Spain,France
994,1251,Dean Ashton,Centre-Forward,22,Norwich,Championship,West Ham,Premier League,2005-2006,6500000.0,10890000,,England,England
995,1252,Peter Crouch,Centre-Forward,24,Southampton,Championship,Liverpool,Premier League,2005-2006,10500000.0,10500000,True,Spain,England
996,1253,Nemanja Vidic<U+200E>,Centre-Back,24,Spartak Moscow,Premier Liga,Man Utd,Premier League,2005-2006,8500000.0,10500000,,England,
997,1254,Theo Walcott,Right Winger,16,Southampton,Championship,Arsenal,Premier League,2005-2006,2500000.0,10500000,True,Italy,England
998,1255,Lucho González,Central Midfield,24,River Plate,Torneo Final,FC Porto,Liga NOS,2005-2006,6000000.0,10250000,,Italy,Argentina
999,1256,Tiago,Central Midfield,24,Chelsea,Premier League,Olympique Lyon,Ligue 1,2005-2006,10000000.0,10100000,True,,
1000,1257,Luca Toni,Centre-Forward,28,US Palermo,Serie A,Fiorentina,Serie A,2005-2006,15000000.0,10000000,,England,Italy
1001,1258,Luís Fabiano,Centre-Forward,24,FC Porto,Liga NOS,Sevilla FC,LaLiga,2005-2006,10000000.0,10000000,,Italy,Brazil
1002,1260,Emmanuel Adebayor,Centre-Forward,21,Monaco,Ligue 1,Arsenal,Premier League,2005-2006,7500000.0,10000000,True,,Togo
1003,1261,Martin Petrov,Left Winger,26,VfL Wolfsburg,1.Bundesliga,Atlético Madrid,LaLiga,2005-2006,7000000.0,10000000,,England,Bulgaria
1004,1262,Pepe Reina,Goalkeeper,22,Villarreal CF,LaLiga,Liverpool,Premier League,2005-2006,4500000.0,9800000,,England,Spain
1005,1263,Yakubu Aiyegbeni,Centre-Forward,22,Portsmouth,Premier League,Middlesbrough,Premier League,2005-2006,9500000.0,9750000,,Spain,Nigeria
1006,1264,Mateja Kezman,Centre-Forward,26,Chelsea,Premier League,Atlético Madrid,LaLiga,2005-2006,13500000.0,9000000,,Germany,SFR Yugoslavia
1007,1265,Andy van der Meyde,Right Winger,25,Inter,Serie A,Everton,Premier League,2005-2006,12500000.0,9000000,,England,Netherlands
1008,1266,Scott Parker,Central Midfield,24,Chelsea,Premier League,Newcastle,Premier League,2005-2006,11000000.0,9000000,True,Italy,England
1009,1267,Klaas-Jan Huntelaar,Centre-Forward,22,Heerenveen,Eredivisie,AFC Ajax,Eredivisie,2005-2006,4750000.0,9000000,True,England,Netherlands
1010,1268,Milan Baros,Centre-Forward,23,Liverpool,Premier League,Aston Villa,Premier League,2005-2006,17500000.0,8840000,,Spain,Czechoslovakia
1011,1269,Daniel Agger,Centre-Back,21,Bröndby IF,Superligaen,Liverpool,Premier League,2005-2006,400000.0,8760000,,,Denmark
1012,1270,Marek Jankulovski,Left-Back,28,Udinese Calcio,Serie A,AC Milan,Serie A,2005-2006,20000000.0,8500000,,Italy,Czechoslovakia
1013,1271,Valérien Ismaël,Centre-Back,29,Werder Bremen,1.Bundesliga,Bayern Munich ,1.Bundesliga,2005-2006,8500000.0,8500000,,,France
1014,1272,Bonaventure Kalou,Right Winger,27,AJ Auxerre,Ligue 1,Paris SG,Ligue 1,2005-2006,7500000.0,8500000,,England,Ivory Coast
1015,1273,Georgios Samaras,Left Winger,20,Heerenveen,Eredivisie,Man City,Premier League,2005-2006,3000000.0,8500000,True,Italy,Greece
1016,1274,Miguel,Right-Back,25,Benfica,Liga NOS,Valencia CF,LaLiga,2005-2006,15000000.0,8000000,True,France,
1017,1275,Andrea Caracciolo,Centre-Forward,23,Brescia,Serie B,US Palermo,Serie A,2005-2006,8000000.0,8000000,True,France,Italy
1018,1276,Patrice Evra,Left-Back,24,Monaco,Ligue 1,Man Utd,Premier League,2005-2006,6500000.0,8000000,True,France,Senegal
1019,1279,Giorgio Chiellini,Centre-Back,20,Fiorentina,Serie A,Juventus,Serie A,2005-2006,9000000.0,7700000,True,France,Italy
1020,1280,John Carew,Centre-Forward,25,Besiktas,Süper Lig,Olympique Lyon,Ligue 1,2005-2006,7000000.0,7600000,,England,Norway
1021,1281,Jon Dahl Tomasson,Centre-Forward,28,AC Milan,Serie A,VfB Stuttgart,1.Bundesliga,2005-2006,15000000.0,7500000,,England,Denmark
1022,1282,Craig Bellamy,Left Winger,26,Newcastle,Premier League,Blackburn,Premier League,2005-2006,9000000.0,7500000,,Germany,Wales
1023,1283,Benoît Pedretti,Defensive Midfield,24,Marseille,Ligue 1,Olympique Lyon,Ligue 1,2005-2006,9000000.0,7500000,True,England,France
1024,1284,Domenico Morfeo,Attacking Midfield,29,Inter,Serie A,Parma,Serie A,2005-2006,6000000.0,7500000,,England,Italy
1025,1285,Stephen Makinwa,Centre-Forward,22,Atalanta,Serie B,US Palermo,Serie A,2005-2006,5000000.0,7500000,,England,Nigeria
1026,1286,Ji-seong Park,Attacking Midfield,24,PSV Eindhoven,Eredivisie,Man Utd,Premier League,2005-2006,5000000.0,7300000,,England,
1027,1287,Mamadou Niang,Centre-Forward,25,R. Strasbourg,Ligue 1,Marseille,Ligue 1,2005-2006,5000000.0,7000000,,,Senegal
1028,1288,Kevin Kuranyi,Centre-Forward,23,VfB Stuttgart,1.Bundesliga,FC Schalke 04,1.Bundesliga,2005-2006,8000000.0,6900000,,France,Brazil
1029,1289,Per Kröldrup,Centre-Back,25,Udinese Calcio,Serie A,Everton,Premier League,2005-2006,7000000.0,6800000,,Spain,
1030,1290,Frédéric Kanouté,Centre-Forward,27,Spurs,Premier League,Sevilla FC,LaLiga,2005-2006,7500000.0,6500000,,France,France
1031,1291,Henri Camara,Centre-Forward,28,Wolves,Championship,Wigan,Premier League,2005-2006,3500000.0,6450000,,England,Senegal
1032,1292,Jan Kromkamp,Right-Back,24,AZ Alkmaar,Eredivisie,Villarreal CF,LaLiga,2005-2006,8000000.0,6000000,,Spain,Netherlands
1033,1293,John Utaka,Left Winger,23,Lens,Ligue 1,Stade Rennais,Ligue 1,2005-2006,7000000.0,6000000,,Italy,Nigeria
1034,1294,Camel Meriem,Attacking Midfield,25,G. Bordeaux,Ligue 1,Monaco,Ligue 1,2005-2006,6000000.0,6000000,,Portugal,France
1035,1295,Benjani,Centre-Forward,27,AJ Auxerre,Ligue 1,Portsmouth,Premier League,2005-2006,4000000.0,6000000,,,Zimbabwe
1036,1297,Manuel Pasqual,Left-Back,23,Arezzo,Serie B,Fiorentina,Serie A,2005-2006,1700000.0,6000000,True,,Italy
1037,1298,Valon Behrami,Defensive Midfield,20,Genoa,Serie C - A,Lazio,Serie A,2005-2006,500000.0,6000000,True,England,SFR Yugoslavia
1038,1301,Antonio Cassano,Second Striker,23,AS Roma,Serie A,Real Madrid,LaLiga,2005-2006,24000000.0,5500000,,Italy,Italy
1039,1302,Riccardo Montolivo,Defensive Midfield,20,Atalanta,Serie B,Fiorentina,Serie A,2005-2006,5000000.0,5500000,True,Portugal,Italy
1040,1303,Markus Rosenberg,Centre-Forward,22,Malmö FF,Allsvenskan,AFC Ajax,Eredivisie,2005-2006,5500000.0,5300000,True,England,Sweden
1041,1304,Phil Neville,Right-Back,28,Man Utd,Premier League,Everton,Premier League,2005-2006,5000000.0,5300000,,Scotland,England
1042,1305,Simon Davies,Right Midfield,25,Spurs,Premier League,Everton,Premier League,2005-2006,5500000.0,5250000,,Italy,
1043,1306,Slobodan Rajkovic,Centre-Back,16,OFK Beograd,SuperLiga,Chelsea,Premier League,2005-2006,,5200000,,England,Yugoslavia
1044,1307,Rafael van der Vaart,Attacking Midfield,22,AFC Ajax,Eredivisie,Hamburger SV,1.Bundesliga,2005-2006,8000000.0,5100000,True,Italy,Netherlands
1045,1308,Emre Belözoglu,Central Midfield,24,Inter,Serie A,Newcastle,Premier League,2005-2006,12000000.0,5000000,,Italy,Turkey
1046,1309,Torsten Frings,Defensive Midfield,28,Bayern Munich ,1.Bundesliga,Werder Bremen,1.Bundesliga,2005-2006,9000000.0,5000000,,Italy,West Germany
1047,1310,Maxi Rodríguez,Left Winger,24,Espanyol,LaLiga,Atlético Madrid,LaLiga,2005-2006,7000000.0,5000000,,Portugal,Argentina
1048,1311,Timmy Simons,Defensive Midfield,28,Club Brugge,Jupiler Pro League,PSV Eindhoven,Eredivisie,2005-2006,5000000.0,5000000,True,England,Belgium
1049,1312,Sylvain Monsoreau,Centre-Back,24,FC Sochaux,Ligue 1,Olympique Lyon,Ligue 1,2005-2006,5000000.0,5000000,,Italy,France
1050,1314,Rafinha,Right-Back,19,Coritiba FC,Série A,FC Schalke 04,1.Bundesliga,2005-2006,4500000.0,5000000,True,Spain,
1051,1315,Jérémy Mathieu,Centre-Back,21,FC Sochaux,Ligue 1,Toulouse,Ligue 1,2005-2006,3500000.0,5000000,True,Italy,France
1052,1316,Carlos Diogo,Right-Back,21,River Plate,Torneo Final,Real Madrid,LaLiga,2005-2006,2500000.0,5000000,,Spain,Uruguay
1053,1317,Thomas Kahlenberg,Central Midfield,22,Bröndby IF,Superligaen,AJ Auxerre,Ligue 1,2005-2006,1500000.0,5000000,True,,Denmark
1054,1318,Barreto,Second Striker,19,Treviso,Serie A,Udinese Calcio,Serie A,2005-2006,1000000.0,5000000,True,England,
1055,1319,Michele Canini,Centre-Back,20,Atalanta,Serie B,Cagliari Calcio,Serie A,2005-2006,250000.0,5000000,,Italy,Italy
1056,1320,El-Hadji Diouf,Centre-Forward,24,Liverpool,Premier League,Bolton,Premier League,2005-2006,6500000.0,4800000,,Spain,Senegal
1057,1321,Wilfred Bouma,Left-Back,27,PSV Eindhoven,Eredivisie,Aston Villa,Premier League,2005-2006,5000000.0,4700000,,France,Netherlands
1058,1322,Tom Huddlestone,Defensive Midfield,18,Derby,Championship,Spurs,Premier League,2005-2006,4700000.0,4700000,True,Portugal,England
1059,1323,Mikael Forssell,Centre-Forward,24,Chelsea,Premier League,Birmingham,Premier League,2005-2006,7000000.0,4500000,,France,West Germany
1060,1327,Darren Bent,Centre-Forward,21,Ipswich,Championship,Charlton,Premier League,2005-2006,3500000.0,4500000,True,,England
1061,1328,Nathan Ellington,Centre-Forward,24,Wigan,Premier League,West Brom,Premier League,2005-2006,2250000.0,4500000,,Spain,England
1062,1330,Curtis Davies,Centre-Back,20,Luton Town,Championship,West Brom,Premier League,2005-2006,,4500000,True,Italy,England
1063,1331,Lassana Diarra,Defensive Midfield,20,AC Le Havre,Ligue 2,Chelsea,Premier League,2005-2006,,4500000,,Italy,France
1064,1332,Shunsuke Nakamura,Attacking Midfield,27,Reggina,Serie A,Celtic,Premiership,2005-2006,2500000.0,4200000,True,,Japan
1065,1334,Emiliano Bonazzoli,Centre-Forward,26,Reggina,Serie A,Parma,Serie A,2005-2006,4000000.0,4150000,,England,Italy
1066,1337,Per Kröldrup,Centre-Back,26,Everton,Premier League,Fiorentina,Serie A,2005-2006,7250000.0,4000000,,England,
1067,1338,Cicinho,Right-Back,25,São Paulo,Série A,Real Madrid,LaLiga,2005-2006,5000000.0,4000000,,Spain,Brazil
1068,1339,Edwin van der Sar,Goalkeeper,34,Fulham,Premier League,Man Utd,Premier League,2005-2006,4750000.0,4000000,,,Netherlands
1069,1340,Pablo García,Defensive Midfield,28,CA Osasuna,LaLiga,Real Madrid,LaLiga,2005-2006,4250000.0,4000000,,Germany,
1070,1345,Eduardo Costa,Defensive Midfield,22,Marseille,Ligue 1,Espanyol,LaLiga,2005-2006,3000000.0,4000000,,France,Brazil
1071,1346,Lorik Cana,Centre-Back,22,Paris SG,Ligue 1,Marseille,Ligue 1,2005-2006,2800000.0,4000000,,Italy,Republic of Kosovo
1072,1347,Mike Hanke,Centre-Forward,21,FC Schalke 04,1.Bundesliga,VfL Wolfsburg,1.Bundesliga,2005-2006,1750000.0,4000000,,France,West Germany
1073,1348,Alex Song,Defensive Midfield,17,SC Bastia,Ligue 2,Arsenal,Premier League,2005-2006,1250000.0,4000000,,England,Cameroon
1074,1350,Patrick Müller,Centre-Back,29,FC Basel,Super League,Olympique Lyon,Ligue 1,2005-2006,3000000.0,3800000,,France,
1075,1351,Yossi Benayoun,Right Winger,25,Racing,LaLiga,West Ham,Premier League,2005-2006,4000000.0,3750000,,Spain,Israel
1076,1353,Paul Scharner,Centre-Back,25,SK Brann,Eliteserien,Wigan,Premier League,2005-2006,3000000.0,3670000,,,Austria
1077,1354,Darius Vassell,Centre-Forward,25,Aston Villa,Premier League,Man City,Premier League,2005-2006,5750000.0,3600000,,,England
1078,1356,Ewerthon,Centre-Forward,24,Bor. Dortmund,1.Bundesliga,Real Zaragoza,LaLiga,2005-2006,12000000.0,3500000,,Netherlands,Brazil
1079,1358,Deivid,Centre-Forward,25,Santos FC,Série A,Sporting CP,Liga NOS,2005-2006,3500000.0,3500000,True,Greece,Brazil
1080,1359,Grzegorz Rasiak,Centre-Forward,26,Derby,Championship,Spurs,Premier League,2005-2006,3500000.0,3500000,,England,Poland
1081,1361,Alberto Rivera,Central Midfield,27,Levante UD,LaLiga2,Real Betis,LaLiga,2005-2006,800000.0,3500000,,,
1082,1362,Grafite,Centre-Forward,26,São Paulo,Série A,Le Mans,Ligue 1,2005-2006,,3500000,,England,Brazil
1083,1363,Jonás Gutiérrez,Left Midfield,22,Vélez Sarsfield,Torneo Final,RCD Mallorca,LaLiga,2005-2006,,3500000,True,England,Argentina
1084,1364,Pablo Zabaleta,Right-Back,20,San Lorenzo,Torneo Final,Espanyol,LaLiga,2005-2006,,3500000,True,England,Argentina
1085,1365,Bryan Bergougnoux,Attacking Midfield,22,Olympique Lyon,Ligue 1,Toulouse,Ligue 1,2005-2006,2500000.0,3400000,True,,France
1086,1368,Danny Murphy,Central Midfield,28,Charlton,Premier League,Spurs,Premier League,2005-2006,5300000.0,3210000,,England,
1087,1369,Vikash Dhorasoo,Central Midfield,31,AC Milan,Serie A,Paris SG,Ligue 1,2005-2006,4000000.0,3200000,,Germany,France
1088,1371,Maciej Zurawski,Centre-Forward,28,Wisla Kraków,Ekstraklasa,Celtic,Premiership,2005-2006,5000000.0,3100000,,,Poland
1089,1373,Jesper Grönkjaer,Left Winger,27,Atlético Madrid,LaLiga,VfB Stuttgart,1.Bundesliga,2005-2006,6500000.0,3000000,,,
1090,1374,Santos,Centre-Forward,26,FC Sochaux,Ligue 1,Toulouse,Ligue 1,2005-2006,6500000.0,3000000,True,Netherlands,
1091,1375,Aruna Dindane,Second Striker,24,RSC Anderlecht,Jupiler Pro League,Lens,Ligue 1,2005-2006,5000000.0,3000000,,Spain,Ivory Coast
