,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,winner
24560,2001-11-14,Greece,Cyprus,1,2,Friendly,Athens,Greece,False,Cyprus
24568,2001-11-14,Portugal,Angola,5,1,Friendly,Lisbon,Portugal,False,Portugal
24570,2001-11-14,Spain,Mexico,1,0,Friendly,Huelva,Spain,False,Spain
24738,2002-02-13,Belgium,Norway,1,0,Friendly,Brussels,Belgium,False,Belgium
24742,2002-02-13,France,Romania,2,1,Friendly,Saint-Denis,France,False,France
24743,2002-02-13,Germany,Israel,7,1,Friendly,Kaiserslautern,Germany,False,Germany
24744,2002-02-13,Greece,Sweden,2,2,Friendly,Salonica,Greece,False,Draw
24746,2002-02-13,Italy,United States,1,0,Friendly,Catania,Italy,False,Italy
24751,2002-02-13,Netherlands,England,1,1,Friendly,Amsterdam,Netherlands,False,Draw
24755,2002-02-13,Spain,Portugal,1,1,Friendly,Barcelona,Spain,False,Draw
24803,2002-03-27,England,Italy,1,2,Friendly,Leeds,England,False,Italy
24805,2002-03-27,France,Scotland,5,0,Friendly,Saint-Denis,France,False,France
24807,2002-03-27,Germany,United States,4,2,Friendly,Rostock,Germany,False,Germany
24813,2002-03-27,Netherlands,Spain,1,0,Friendly,Rotterdam,Netherlands,False,Netherlands
24815,2002-03-27,Portugal,Finland,1,4,Friendly,Porto,Portugal,False,Finland
24832,2002-04-17,Belgium,Slovakia,1,1,Friendly,Brussels,Belgium,False,Draw
24837,2002-04-17,England,Paraguay,4,0,Friendly,Liverpool,England,False,England
24838,2002-04-17,France,Russia,0,0,Friendly,Saint-Denis,France,False,Draw
24839,2002-04-17,Germany,Argentina,0,1,Friendly,Stuttgart,Germany,False,Argentina
24840,2002-04-17,Greece,Czech Republic,0,0,Friendly,Ioannina,Greece,False,Draw
24843,2002-04-17,Italy,Uruguay,1,1,Friendly,Milan,Italy,False,Draw
24850,2002-04-17,Northern Ireland,Spain,0,5,Friendly,Belfast,Northern Ireland,False,Spain
24853,2002-04-17,Portugal,Brazil,1,1,Friendly,Lisbon,Portugal,False,Draw
24854,2002-04-17,Scotland,Nigeria,1,2,Friendly,Aberdeen,Scotland,False,Nigeria
24872,2002-05-09,Germany,Kuwait,7,0,Friendly,Freiburg,Germany,False,Germany
24877,2002-05-14,Belgium,Algeria,0,0,Friendly,Brussels,Belgium,False,Draw
24881,2002-05-14,Wales,Germany,1,0,Friendly,Cardiff,Wales,False,Wales
24882,2002-05-15,Greece,Cyprus,3,1,Friendly,Rhodes,Greece,False,Greece
24886,2002-05-16,South Korea,Scotland,4,1,Friendly,Busan,South Korea,False,South Korea
24896,2002-05-18,Czech Republic,Italy,1,0,Friendly,Prague,Czech Republic,False,Czech Republic
24897,2002-05-18,France,Belgium,1,2,Friendly,Saint-Denis,France,False,Belgium
24898,2002-05-18,Germany,Austria,6,2,Friendly,Leverkusen,Germany,False,Germany
24907,2002-05-19,United States,Netherlands,0,2,Friendly,Foxborough,United States,False,Netherlands
24908,2002-05-20,Scotland,South Africa,0,2,Friendly,So Kon Po,Hong Kong,True,South Africa
24909,2002-05-21,South Korea,England,1,1,Friendly,Seogwipo,South Korea,False,Draw
24916,2002-05-25,China PR,Portugal,0,2,Friendly,Macau,Macau,True,Portugal
24919,2002-05-26,Belgium,Costa Rica,1,0,Friendly,Kumamoto,Japan,True,Belgium
24920,2002-05-26,Cameroon,England,2,2,Friendly,Kobe,Japan,True,Draw
24922,2002-05-26,South Korea,France,2,3,Friendly,Suwon,South Korea,False,France
24924,2002-05-31,France,Senegal,0,1,FIFA World Cup,Seoul,South Korea,True,Senegal
24925,2002-06-01,Germany,Saudi Arabia,8,0,FIFA World Cup,Sapporo,Japan,True,Germany
24929,2002-06-02,England,Sweden,1,1,FIFA World Cup,Saitama,Japan,True,Draw
24931,2002-06-02,Spain,Slovenia,3,1,FIFA World Cup,Gwangju,South Korea,True,Spain
24934,2002-06-03,Italy,Ecuador,2,0,FIFA World Cup,Sapporo,Japan,True,Italy
24936,2002-06-04,Japan,Belgium,2,2,FIFA World Cup,Saitama,Japan,False,Draw
24938,2002-06-05,Germany,Republic of Ireland,1,1,FIFA World Cup,Kashima,Japan,True,Draw
24940,2002-06-05,United States,Portugal,3,2,FIFA World Cup,Suwon,South Korea,True,United States
24943,2002-06-06,France,Uruguay,0,0,FIFA World Cup,Busan,South Korea,True,Draw
24946,2002-06-07,Argentina,England,0,1,FIFA World Cup,Sapporo,Japan,True,England
24947,2002-06-07,Spain,Paraguay,3,1,FIFA World Cup,Jeonju,South Korea,True,Spain
24950,2002-06-08,Italy,Croatia,1,2,FIFA World Cup,Kashima,Japan,True,Croatia
24958,2002-06-10,Portugal,Poland,4,0,FIFA World Cup,Jeonju,South Korea,True,Portugal
24959,2002-06-10,Tunisia,Belgium,1,1,FIFA World Cup,Ōita,Japan,True,Draw
24960,2002-06-11,Cameroon,Germany,0,2,FIFA World Cup,Fukuroi,Japan,True,Germany
24961,2002-06-11,Denmark,France,2,0,FIFA World Cup,Incheon,South Korea,True,Denmark
