,date,home_team,away_team,home_score,away_score,tournament,neutral,winner,GD,home_team_curr_form,away_team_curr_form,home_team_home_form,home_rank,away_rank,rank_diff
113,2001-03-28,Albania,England,1,3,FIFA World Cup qualification,False,England,2,4,10,4,96,10,86
114,2001-03-28,Greece,Germany,2,4,FIFA World Cup qualification,False,Germany,2,2,9,5,57,12,45
115,2001-03-28,Italy,Lithuania,4,0,FIFA World Cup qualification,False,Italy,4,12,1,12,6,97,91
116,2001-03-28,Portugal,Netherlands,2,2,FIFA World Cup qualification,False,Draw,0,11,8,11,4,8,4
117,2001-03-28,Scotland,San Marino,4,0,FIFA World Cup qualification,False,Scotland,4,8,0,4,50,158,108
118,2001-03-28,Spain,France,2,1,Friendly,False,Spain,1,7,10,9,7,1,6
119,2001-04-25,Croatia,Greece,2,2,Friendly,False,Draw,0,4,3,4,19,57,38
120,2001-04-25,Czech Republic,Belgium,1,1,Friendly,False,Draw,0,2,9,5,14,20,6
121,2001-04-25,France,Portugal,4,0,Friendly,False,France,4,12,10,11,1,4,3
122,2001-04-25,Italy,South Africa,1,0,Friendly,False,Italy,1,12,1,12,6,35,29
123,2001-04-25,Netherlands,Cyprus,4,0,FIFA World Cup qualification,False,Netherlands,4,11,3,5,8,79,71
124,2001-04-25,Poland,Scotland,1,1,Friendly,False,Draw,0,2,6,3,33,50,17
125,2001-04-25,Spain,Japan,1,0,Friendly,False,Spain,1,9,2,12,7,34,27
126,2001-05-25,England,Mexico,4,0,Friendly,False,England,4,12,2,9,10,9,1
127,2001-05-29,Germany,Slovakia,2,0,Friendly,False,Germany,2,9,3,13,12,47,35
128,2001-05-30,South Korea,France,0,5,Confederations Cup,False,France,5,1,12,0,42,1,41
129,2001-06-01,Australia,France,1,0,Confederations Cup,True,Australia,1,6,9,3,48,1,47
130,2001-06-02,Belgium,Latvia,3,1,FIFA World Cup qualification,False,Belgium,2,11,4,7,20,106,86
131,2001-06-02,Estonia,Netherlands,2,4,FIFA World Cup qualification,False,Netherlands,2,2,11,2,83,8,75
132,2001-06-02,Finland,Germany,2,2,FIFA World Cup qualification,False,Draw,0,2,10,3,46,12,34
133,2001-06-02,Georgia,Italy,1,2,FIFA World Cup qualification,False,Italy,1,1,12,1,58,6,52
134,2001-06-02,Greece,Albania,1,0,FIFA World Cup qualification,False,Greece,1,6,3,5,57,96,39
135,2001-06-02,Republic of Ireland,Portugal,1,1,FIFA World Cup qualification,False,Draw,0,3,8,2,17,4,13
136,2001-06-02,Spain,Bosnia and Herzegovina,4,1,FIFA World Cup qualification,False,Spain,3,12,0,12,7,69,62
137,2001-06-03,France,Mexico,4,0,Confederations Cup,True,France,4,9,2,13,1,9,8
138,2001-06-06,Albania,Germany,0,2,FIFA World Cup qualification,False,Germany,2,3,13,4,96,12,84
139,2001-06-06,Greece,England,0,2,FIFA World Cup qualification,False,England,2,5,15,5,57,10,47
140,2001-06-06,Israel,Spain,1,1,FIFA World Cup qualification,False,Draw,0,1,13,3,49,7,42
141,2001-06-06,Portugal,Cyprus,6,0,FIFA World Cup qualification,False,Portugal,6,8,0,11,4,79,75
